0 0
0.15 0.15
0.3 0.3
0.45 0.45
0.6 0.6
0.75 0.75
0.9 0.9
1.1 1.1
1.2 1.2
1.3 1.3
1.5 1.5
1.6 1.6
1.8 1.8
1.9 1.9
2.1 2.1
2.2 2.2
2.4 2.4
2.5 2.5
2.7 2.7
2.8 2.8
3 3
3.1 3.1
3.3 3.3
3.4 3.4
3.6 3.6
3.7 3.7
3.9 3.9
4 4
4.2 4.2
4.3 4.3
4.5 4.5
4.7 4.7
4.8 4.8
5 5
5.1 5.1
5.3 5.3
5.4 5.4

0 5
-0.87 4.9
-1.7 4.7
-2.5 4.3
-3.2 3.8
-3.8 3.2
-4.3 2.5
-4.7 1.7
-4.9 0.87
-5 0
-4.9 -0.87
-4.7 -1.7
-4.3 -2.5
-3.8 -3.2
-3.2 -3.8
-2.5 -4.3
-1.7 -4.7
-0.87 -4.9
0 -5
0.87 -4.9
1.7 -4.7
2.5 -4.3
3.2 -3.8
3.8 -3.2
4.3 -2.5
4.7 -1.7
4.9 -0.87
5 0
4.9 0.87
4.7 1.7
4.3 2.5
3.8 3.2
3.2 3.8
2.5 4.3
1.7 4.7
0.87 4.9
0 5

0 5
6.1e-16 -5

-0.87 4.9
1.2 -4.9

-1.7 4.7
2.4 -4.4

-2.5 4.3
3.6 -3.6

