0 -1.1
1 -0.63
2 -0.24
3 0.024
4 0.2
5 0.33
6 0.42
7 0.5
8 0.57
9 0.63
10 0.68
11 0.73
12 0.77
13 0.8
14 0.84
15 0.86
16 0.89
17 0.91
18 0.92
19 0.93
20 0.94
21 0.94
22 0.94
23 0.93
24 0.92
25 0.91
26 0.89
27 0.87
28 0.84
29 0.82
30 0.8
31 0.77
32 0.75
33 0.74
34 0.72
35 0.71

